 -90 -180
 -90 -175
 -90  160
 -90  165
 -90  170
 -90  175
 -85 -180
 -85 -175
 -85 -170
 -85  150
 -85  155
 -85  160
 -85  165
 -85  170
 -85  175
 -80 -180
 -80 -175
 -80 -170
 -80  135
 -80  140
 -80  145
 -80  150
 -80  155
 -80  160
 -80  165
 -80  170
 -80  175
 -75 -180
 -75 -175
 -75 -170
 -75  -15
 -75  -10
 -75  120
 -75  125
 -75  130
 -75  135
 -75  140
 -75  145
 -75  150
 -75  155
 -75  160
 -75  165
 -75  170
 -75  175
 -70 -180
 -70 -175
 -70  -15
 -70  120
 -70  125
 -70  130
 -70  135
 -70  140
 -70  145
 -70  150
 -70  155
 -70  160
 -70  165
 -70  170
 -70  175
 -65 -180
 -65  -20
 -65  -15
 -65  120
 -65  125
 -65  130
 -65  135
 -65  140
 -65  145
 -65  150
 -65  155
 -65  160
 -65  165
 -65  170
 -65  175
 -60  -30
 -60  -25
 -60  -20
 -60  -15
 -60  120
 -60  125
 -60  130
 -60  135
 -60  140
 -60  145
 -60  150
 -60  155
 -60  160
 -60  165
 -60  170
 -60  175
 -55  -40
 -55  -35
 -55  -30
 -55  -25
 -55  120
 -55  125
 -55  130
 -55  135
 -55  140
 -55  145
 -55  150
 -55  155
 -55  160
 -55  165
 -50  -40
 -50  -35
 -50  115
 -50  120
 -50  125
 -50  130
 -50  135
 -50  140
 -50  145
 -50  150
 -50  155
 -50  160
 -45  120
 -45  125
 -45  130
 -45  135
 -45  140
 -45  145
